Category,Commitment,Party,Status,Updated,Due,References,Tags,LobbyFor,LobbyAgainst,Notes
Economy,"Establish a select committee inquiry into banking competition with broad and deep criteria to focus on competitiveness, customer services, and profitability.",NZ First,100,13/06/2024,,https://www.beehive.govt.nz/release/inquiry-requested-rural-banking,,,,
Economy,"Explore options to strengthen the powers of the Grocery Commissioner, to improve competitiveness, and to address the lack of a third entrant to remove the market power of a duopoly",NZ First,25,24/06/2026,,https://www.rnz.co.nz/news/business/grocery-commissioner-puts-supermarkets-on-notice,,,,"Grocery Industry Competition Act now law; Commissioner actively enforcing (warned Woolworths Jan 2026, taken Foodstuffs North Island to court). Aug 2025 'express lane' for new supermarkets; Woolworths exiting NZ. Mar 2026: Government backed away from 'nuclear option' of breaking up duopoly. Foodstuffs and Woolworths still 82% of market - no third entrant achieved."
Economy,Assess and respond to the impact that energy prices have on inflation including consumer led institutional improvements.,NZ First,20,24/06/2026,,https://www.rnz.co.nz/news/the-house/parliament-finds-energy-to-debate-power-costs,,,,Some retailers offering 'hour of free power' (Sept 2025); Commerce Commission making anonymous reporting tool for businesses on electricity companies (Aug 2025); Parliament debated power costs Oct 2025. OCR held at 2.25% by RBNZ May 2026. No major institutional reform delivered; calls to renationalise power market rejected by major parties.
Economy,"By or before 2026, assess the impact inflation has had on the average tax rates faced by income earners.",NZ First,,27/11/2023,,,,,,
Economy,"As an export dependent nation, prioritise free and fair trade agreements, including with India",NZ First,100,24/06/2026,,https://www.rnz.co.nz/news/politics/nz-signs-historic-free-trade-agreement-with-india,,,,"India FTA signed in New Delhi 28 April 2026. Coalition parties publicly disagreed over what was signed up; Labour backed the deal. NZ has also signed FTAs with UAE, UK, and EU during the term."
Economy,"The Coalition Government will increase funding for IRD tax audits to urgently expand the IRD tax audit capacity, minimise taxation losses due to insufficient IRD oversight, and to ensure greater integrity and fairness in our tax system",NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/business/businesses-warned-as-ird-cracks-down,,,,IRD enforcement intensity increased (Jul 2025 'cracks down' warning) but no specific evidence of increased funding for tax audit capacity. Commitment to expanded IRD audit capacity appears largely undelivered as a budget measure.
Employment,"Strengthen obligations on Jobseeker work ready beneficiaries to find work and make use of sanctions for non-compliance with work obligations, and consider time limits for under 25s.",NZ First,100,25/06/2024,,https://www.beehive.govt.nz/release/job-seekers-report-progress-after-six-months-today,,,,
Employment,Commit to moderate increases to the minimum wage every year.,NZ First,67,24/06/2026,,https://www.rnz.co.nz/news/business/minimum-wage-workers-to-get-pay-increase-next-year,,,,Minimum wage reached $23.95/hr by Apr 2026 (up from $20 in 2021). Annual increases have been delivered - though Labour/Greens called Apr 2026 increase 'measly' (below inflation). Sustained moderate increases throughout the term.
Immigration,Improve the Accredited Employer Work Visa to focus the immigration system on attracting the workers and skills New Zealand needs.,NZ First,50,24/06/2026,,https://www.rnz.co.nz/news/politics/english-requirements-for-accredited-employer-work-visa-expanded,,,,Active AEWV reform programme: English requirements expanded (changes from 1 Jun 2026); Minister Stanford got tough on employers choosing migrants over locals (Oct 2025); migrant bus drivers need post-graduate English for residency (Sept 2025). Reforms ongoing and substantial.
Immigration,Ensure Immigration New Zealand is engaged in proper risk management and verification to ensure migrants are filling genuine workforce needs.,NZ First,20,24/06/2026,,https://www.rnz.co.nz/news/immigration/immigration-new-zealand-strengthens-law-enforcement-tools-to-combat-exploitation,,,,"INZ strengthened law enforcement tools Apr 2024 with infringement penalties. Auditor-General Nov 2024 said visa systems need sharper focus. Exploitation cases continue (Kiwifruit boss fined $40k May 2026, Thai massage business fined, dairy farmer fined $200k). Some action but significant gaps remain."
Immigration,Investigate the establishment of an “Essential Worker” workforce planning mechanism to better plan for skill or labour shortages in the long term.,NZ First,,27/11/2023,,,,,,
Immigration,Commit to enforcement and action to ensure those found responsible for the abuse of migrant workers face appropriate consequences.,NZ First,75,24/06/2026,,https://www.rnz.co.nz/news/indo-nz/budget-sets-aside-18-million-for-migrant-exploitation-enforcement,,,,"Jun 2026: Budget 2026 sets aside $18m over 4 years for migrant exploitation enforcement. Jul 2025: Bill criminalising migrant exploitation (up to 7 years jail, $100k fines). Apr 2024: INZ infringement penalties in effect. Multiple successful prosecutions: Kiwifruit boss $40k, Thai massage $200k+, dairy farmer $200k."
Immigration,Address and provide solutions for the long-expressed concern of the OECD into the lack of focus in New Zealand Immigration Policy,NZ First,20,24/06/2026,,https://www.rnz.co.nz/news/politics/the-big-problems-nz-needs-to-fix-according-to-the-oecd,,,,"May 2024 OECD report flagged immigration alongside inflation, education, productivity. Government has substantially reshaped immigration settings (AEWV reforms, English requirements, parent visa threshold hikes, Skilled Migrant changes). OECD's 'lack of focus' critique partially addressed by broad migration reset."
Infrastructure,Establish a National Infrastructure Agency,NZ First,50,24/06/2026,20/12/2024,https://www.rnz.co.nz/news/politics/30-year-infrastructure-plan-backed-by-parliament,"100-day plan, Q4 action plan",,,"Jun 2026: 30-year National Infrastructure Plan released and backed by Parliament with cross-party support (Labour and Greens). New Ministry for Cities, Environment, Regions and Transport starts 1 Jul 2026 (Bishop defending it 19 Jun 2026). Original commitment was a 'National Infrastructure Agency'; actual delivery is a different structure but achieves similar function."
Infrastructure,Prioritise strategic infrastructure to improve the resilience of heavy industry in New Zealand.,NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/regions/nz-first-wants-special-economic-zone-at-marsden-point,,,,May 2026: NZ First (Peters) proposed Special Economic Zone at Marsden Point. Dec 2025: RMA replacement bills include infrastructure resilience provisions. No specific heavy industry resilience programme delivered; commitment remains largely unaddressed.
Infrastructure,Establish a Regional Infrastructure Fund with $1.2 billion in capital funding over the Parliamentary term.,NZ First,100,30/05/2024,01/07/2024,https://www.beehive.govt.nz/release/regional-resilience-and-prosperity-focus-new-fund,,,,
Infrastructure,Repeal the Natural and Built Environment Act 2023 and the Spatial Planning Act 2023.,"NZ First, ACT",100,05/12/2023,08/03/2024,https://environment.govt.nz/news/nba-spa-repeal/,100-day plan,,,
Infrastructure,Amend the Resource Management Act 1991,NZ First,75,24/06/2026,20/12/2024,https://www.rnz.co.nz/news/politics/the-house-mps-week-begins-with-an-rma-shakeup-precursor,Q4 action plan,,,"Dec 2025: RMA shakeup passed under urgency; Planning Bill and Natural Environment Bill introduced to replace RMA. Apr 2025: 'Reforming the reforms' debate. Multiple RMA Amendment Bills (1st, 2nd, 3rd) progressing through Parliament. RMA replacement aim is passage in 2026. Substantial progress but full replacement not yet law."
Infrastructure,Cancel Auckland Light Rail,"NZ First, ACT",100,05/12/2023,08/03/2024,https://www.rnz.co.nz/news/national/503560/auckland-light-rail-new-government-taking-advice-after-stopping-work-on-project,100-day plan,,,
Infrastructure,Cancel Let's Get Wellington Moving,"NZ First, ACT",100,05/12/2023,08/03/2024,https://www.stuff.co.nz/national/politics/301028320/lets-get-wellington-moving-grinds-to-a-halt,100-day plan,,,
Infrastructure,Reduce expenditure on cycleways,NZ First,100,05/12/2023,,https://newsroom.co.nz/2023/12/17/government-quietly-defunds-transport-climate-work/,,,,
Infrastructure,Commit to building a four-lane highway alternative for the Brynderwyns and investigate the use of private finance to accelerate construction.,NZ First,25,24/06/2026,,https://www.rnz.co.nz/news/national/567123/northland-expressway-preferred-routes-new-road-over-brynderwyn-hills,,,,"Route selection for the new Northland Expressway over the Brynderwyn Hills was announced in April 2025, with the replacement road to be built just east of the current SH1 alignment."
Infrastructure,Investigate the threshold at which local lines companies can invest in generation assets.,NZ First,,27/11/2023,,,,,,
Infrastructure,Commission a study into New Zealand’s fuel security requirements.,NZ First,100,06/06/2024,,https://www.beehive.govt.nz/release/government-making-fuel-resilience-priority,,,,
Infrastructure,Facilitate the development and efficiency of ports and strengthen international supply networks.,NZ First,,27/11/2023,,,,,,
Infrastructure,Commence an urgent review into the implementation of the National Policy Statement on Indigenous Biodiversity before any implementation.,NZ First,,27/11/2023,,,,,,
Infrastructure,Replace the National Policy Statement for Freshwater Management 2020 and the National Environmental Standards for Freshwater to better reflect the interests of all water users.,"NZ First, ACT",70,23/05/2024,20/12/2024,https://www.beehive.govt.nz/release/first-rma-amendment-bill-introduced-parliament,Q4 action plan,,,
Infrastructure,Investigate the reopening of Marsden Point Refinery. This includes establishing a Fuel Security Plan to safeguard our transport and logistics systems and emergency services from any international or domestic disruption.,NZ First,40,08/07/2026,,https://www.beehive.govt.nz/release/new-zealands-strategic-diesel-reserve-ready-go,,,,Strategic diesel reserve at Marsden Point officially operational 7 July 2026 (two refurbished tanks, 90–93m litres, $21.6m RIF, managed by Z Energy) — Fuel Security Plan limb delivered; refinery itself not reopening.
Infrastructure,Progress further work examining connecting the railway to Marsden Point and Northport from the Northern Main Truck Line.,NZ First,,27/11/2023,,,,,,
Infrastructure,"Progress the detailed business case for a dry dock at Marsden Point to service domestic and international shipping needs and to support our Navy vessels, with investigation of funding options including commercial partnerships.",NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/526606/marsden-point-dry-dock-likely-on-infrastructure-fund-wish-list,,,,"A Marsden Point dry dock has been identified as likely candidate for Northland's $1.2b Regional Infrastructure Fund wish list (Sept 2024), with detailed business case work to follow."
Infrastructure,Require the electricity regulator to implement regulations such that there is sufficient electricity infrastructure to ensure security of supply and avoid excessive prices.,NZ First,25,24/06/2026,,https://www.rnz.co.nz/news/business/564394/transpower-given-more-powers-to-manage-supply-risks,,,,Transpower was given additional powers to manage electricity supply risks in March 2025 as the sector sought to avoid a repeat of the prior year's shortages.
Infrastructure,"Examine transmission and connection pricing to facilitate cost effective connection of new renewable generation resources, both on-shore and off-shore.",NZ First,,27/11/2023,,,,,,
Infrastructure,"Plan for transitional low carbon fuels, including the infrastructure needed to increase the use of methanol and hydrogen to achieve sovereign fuel resilience.",NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/567891/government-backs-down-on-levy-to-fund-new-lng-import-terminal,,,,"Simeon Brown announced in June 2026 an LNG import terminal is being progressed as part of sovereign fuel resilience, with steeper fines for non-compliant power companies."
Infrastructure,Future-proof the natural gas industry by restarting offshore exploration and supporting development of hydrogen technology to produce hydrogen from natural gas without co-production of CO2.,NZ First,50,24/06/2026,,https://www.rnz.co.nz/news/political/564394/first-offshore-oil-and-gas-exploration-permit-since-ban-under-official-consideration,,,,Offshore petroleum exploration ban lifted in Sept 2024; in Jan 2026 EnZed Energy's application to explore a south Taranaki block became the first offshore bid under consideration since the reversal.
Climate Change,Ensure that climate change policies are aligned and do not undermine national energy security.,NZ First,,27/11/2023,,,,,,
Infrastructure,"Ensure the government’s energy settings allow for the exploration of natural geological hydrogen in New Zealand, to maximise future energy resilience.",NZ First,,27/11/2023,,,,,,
Infrastructure,"Investigate the strategic opportunities in New Zealand’s mineral resources, including vanadium, and develop a plan to develop these opportunities.",NZ First,60,08/07/2026,,https://www.beehive.govt.nz/release/govt-backs-nz-critical-minerals-processing,,,,"Government released a list of 35 critical minerals in Sept 2024 as part of Shane Jones' mineral mining strategy, with vanadium explicitly identified; sector strategy targets doubling mineral exports to $2b by 2035. 6 Jul 2026: Govt committed up to $50m from the Regional Infrastructure Fund to Tāiko Critical Minerals (Barrytown) and Westland Mineral Sands (Westport) processing projects — strategy moving from planning into funded delivery."
Primary Industry,Stop the current review of the ETS system to restore confidence and certainty to the carbon trading market.,NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/564394/coalition-exempt-farmers-from-ets-sets-up-fresh-working-group,,,,"Government exempted farmers from ETS pricing in June 2024 and set up a new working group, effectively halting the prior He Waka Eke Noa pricing workstream."
Primary Industry,"Progress work to recognise other forms of carbon sequestration, including blue carbon.",NZ First,20,24/06/2026,,https://www.rnz.co.nz/news/political/564394/new-climate-scheme-to-recognise-carbon-removal-activities-beyond-tree-planting,,,,"Nov 2025: Government identified new wetlands and rewetted peatlands as areas of opportunity for carbon removal, expanding recognition of sequestration beyond forestry."
Primary Industry,"Incentivise the uptake of emissions reduction mitigations, such as low methane genetics, and low methane producing animal feed.",NZ First,10,24/06/2026,20/12/2024,https://www.rnz.co.nz/news/political/564394/coalition-exempt-farmers-from-ets-sets-up-fresh-working-group,Q4 action plan,,,"Related agricultural emissions mitigation work continues via the new working group established June 2024, though no specific scheme for low-methane genetics/feed yet announced."
Primary Industry,Support Farm Environment Plans administered by regional councils and targeted at a catchment level.,NZ First,,27/11/2023,,,,,,
Primary Industry,Adopt standardised farm level reporting.,NZ First,,27/11/2023,,,,,,
Primary Industry,"Cut red tape and regulatory blocks on irrigation, water storage, managed aquifer recharge and flood protection schemes.",NZ First,,27/11/2023,,,,,,
Primary Industry,Amend the National Environmental Standards for Plantation Forestry (NES-PF) regulations to place a duty upon harvesters to contain and remove post-harvest slash.,NZ First,,27/11/2023,,,,,,
Primary Industry,Direct government agencies where practical and appropriate to preference the use of woollen fibres rather than artificial fibres in government buildings.,NZ First,30,24/06/2026,,https://www.rnz.co.nz/news/political/564394/new-procurement-rules-urge-wool-use-in-government-buildings,,,,April 2025: New government procurement rules direct agencies to prefer wool over synthetic fibres; Kāinga Ora subsequently committed to woollen carpet in new state homes (June 2025).
Primary Industry,Reverse the recent ban on live animal exports while ensuring the highest standards of animal welfare.,"NZ First, ACT",-100,24/06/2026,,https://www.rnz.co.nz/news/business/564394/live-animal-exporters-disappointed-by-backtrack-on-government-commitment,,,End Live Export NZ,"Government U-turned in March 2026, announcing live animal exports will NOT resume this term — a binary deliverable explicitly abandoned."
Primary Industry,"Reform the National Animal Welfare Advisory Committee to ensure its functions, membership and mandate are appropriate.",NZ First,30,24/06/2026,,https://www.rnz.co.nz/news/political/564394/governments-independent-animal-welfare-experts-disagreed-with-pig-welfare-reforms,,,,"Oct 2025: Associate Agriculture Minister overrode NAWAC concerns to rewrite pig welfare rules, demonstrating restructuring of NAWAC's effective mandate."
Primary Industry,Deliver longer durations for marine farming permits and remove regulations that impede the productivity and enormous potential of the seafood sector.,NZ First,,27/11/2023,,,,,,
Primary Industry,Liberalise genetic engineering laws while ensuring strong protections for human health and the environment.,"NZ First, ACT",25,24/06/2026,20/12/2024,https://www.rnz.co.nz/news/political/564394/political-parties-negotiate-controversial-gene-technology-bill-as-progress-stalls,Q4 action plan,,,Select Committee has considered the Gene Technology Bill but stalled ahead of second reading; NZ First said in June 2026 the overhaul is unlikely before the election.
Law & Order,Commit to training no fewer than 500 new frontline police within the first two years.,NZ First,100,30/05/2024,01/01/2026,https://www.beehive.govt.nz/release/500-more-police-improve-public-safety,,,,
Law & Order,Increase the number of the trained Youth Aid Officers over the term.,NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/520489/watch-three-strikes-policy-to-return-with-changes-pm-announces,,,,"No specific Youth Aid Officer numbers reported. Adjacent action: Government announced new community police teams in major cities (June 2024), but Youth Aid Officer data not surfaced."
Law & Order,"Adequately resource community policing, including Māori and Pasifika wardens, Community Patrol New Zealand, and Neighbourhood Watch.",NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/national/516761/police-to-establish-national-gang-unit,,,,"First public action: community police teams announced in major cities (June 2024); national gang unit established (May 2024). No specific ringfenced funding boost for Māori/Pasifika wardens, Community Patrol NZ or Neighbourhood Watch found."
Law & Order,Introduce a suite of measures designed to tackle youth crime including consideration of a Youth Justice Demerit Point system.,NZ First,,27/11/2023,,,,,,
Law & Order,Reform the Fleeing Driver laws to curb the increase in fleeing driver incidents.,NZ First,100,08/07/2026,,https://www.beehive.govt.nz/release/bill-passed-tackle-antisocial-road-users,,,,"Antisocial Road Use Legislation Amendment Bill passed final reading 30 June 2026 — presumptive vehicle forfeiture for fleeing drivers/street racers, new Police powers to close roads at antisocial gatherings, infringement fees for excessive vehicle noise lifted $50→$300. Most changes in force in six months."
Law & Order,"Amend the Sentencing Act 2002 and associated legislation to ensure appropriate consequences for criminals, including: Giving priority to the needs of victims and communities over offenders. Including gang membership as an aggravating factor during sentencing. Including the victim working sole charge or adjacent to a dwelling as an aggravating factor during sentencing. Ensuring real consequences for lower-level crimes such as shoplifting. Removing concurrent sentences for those who commit offences while on parole, on bail, or whilst in custody.","NZ First, ACT",67,24/06/2026,,https://www.rnz.co.nz/news/political/528460/coalition-s-gang-legislation-passes-into-law-banning-patches-in-public-places,,Family First,,Strong progress: gang membership as aggravating sentencing factor passed Sept 2024; three-strikes reinstated Dec 2024; concurrent sentencing for parole/bail/custody offences and shoplifting instant fines (Jul 2025). 'Real consequences for lower-level crimes' largely delivered.
Law & Order,"Where appropriate, require prisoners to work, including in the construction of new accommodation in prisons or pest control.",NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/565489/government-to-allow-bigger-granny-flats-built-without-consents,,,,"No specific prisoner-work programme rollout found beyond the youth boot camp pilot (Palmerston North, Jul 2024–2025). General prison labour programmes predate the commitment."
Law & Order,"Equip corrections officers with body cameras and protective equipment, where appropriate.",NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/national/575110/why-nz-police-dont-wear-body-cameras-and-if-that-will-change,,,,RNZ explainer (9 Sep 2025) confirms NZ Police still don't routinely wear body cameras; corrections officer rollout not separately documented. Some prison site trials exist but no broad deployment.
Law & Order,"Seek to make it easier for New Zealanders, including prisoners, to get drivers licences, and better support to existing programmes that are delivering positive outcomes.",NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/national/523456/whangarei-new-court-tackles-unlicensed-driving-among-young-adults,,,,Whangārei community court tackling unlicensed driving launched Aug 2024 (adjacent). No specific 'easier licensing for prisoners' programme identified.
Law & Order,Introduce the Protection for First Responders and Prison Officers legislation which will create a specific offence for assaults on first responders which includes minimum mandatory prison sentences.,NZ First,30,24/06/2026,,https://www.rnz.co.nz/news/political/565466/justice-minister-proposes-higher-penalties-for-assaults-against-first-responders,,,,Justice Minister Goldsmith announced specific offence for assaulting first responders (29–30 Jun 2025). Status reflects announcement stage; passage not yet confirmed by available sources.
Law & Order,Introduce the Coward Punch legislation which will create a specific offence for anyone who injures or kills someone with a coward punch.,NZ First,75,24/06/2026,,https://www.1news.co.nz/2025/06/30/govt-introducing-specific-criminal-offence-for-coward-punches/,,,,Coward Punch offences (8 yrs GBH / 15 yrs intended GBH / life for culpable homicide) announced 30 Jun 2025. NZ First publicly labelled the enacted law 'window dressing' on 12 Jun 2026 — committed but seen as weaker than promised.
Law & Order,Investigate the introduction and implementation of Degrees of Murder Sentencing legislation.,NZ First,,27/11/2023,,,,,,
Education,Enforce compulsory education and address truancy.,NZ First,100,08/05/2024,,https://www.beehive.govt.nz/release/daily-school-attendance-data-now-available,,Family First,,
Education,"Refocus the curriculum on academic achievement and not ideology, including the removal and replacement of the gender, sexuality, and relationship-based education guidelines.",NZ First,67,24/06/2026,,https://www.rnz.co.nz/news/political/558126/consultation-starts-on-new-draft-sexuality-education-framework,,Family First,,Old guidelines removed from Ministry of Education website Feb 2025. Government began consulting on new draft relationships & sexuality education framework 15 Apr 2025. Curriculum refocus ongoing under Stanford.
Education,Stop first year Fees Free and replace with a final year Fees Free with no change before 2025.,NZ First,33,24/06/2026,,https://www.nzherald.co.nz/nz/politics/budget-leak-winston-peters-confirms-fees-free-university-scheme-to-be-scrapped/VNW2TKISOZH3PLGB5BXCO7ZQJ4/,,,,"First-year Fees Free stopped and final-year scheme launched 1 Jan 2025 as planned, but Peters/Willis confirmed scrapping of final-year Fees Free in the 2026 Budget (8 May 2026) — partial implementation then walked back."
Education,Maintain the Apprenticeship Boost scheme.,NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/516000/budget-2024-apprenticeship-boost-scheme-continues,,,,No explicit announcement found maintaining or expanding Apprenticeship Boost under the coalition — implicit continuation through TEC contracts. Treat as low-confidence positive fraction.
Health,Abolish the Māori Health Authority.,"NZ First, ACT",100,27/02/2024,08/03/2024,https://twitter.com/actparty/status/1762273570183594376,100-day plan,Hobson's Pledge,,
Health,Update Pharmac’s decision making model to ensure it appropriately takes “patient’s voice” into account and increase funding for Pharmac every year.,NZ First,33,24/06/2026,,https://www.rnz.co.nz/news/political/567012/health-committee-hears-submissions-on-medicines-amendment-bill,,,,Pharmac funding increased $604m June 2024. Patient-voice progress: new working group established Jul 2025; Patient Voice Aotearoa report Apr 2026 criticised slow decision-making. Decision-making model not yet formally reformed.
Health,Require Medsafe to approve new pharmaceuticals within 30 days of them being approved by at least two overseas regulatory agencies recognised by New Zealand.,"NZ First, ACT",25,24/06/2026,01/07/2024,https://www.rnz.co.nz/news/political/567012/health-committee-hears-submissions-on-medicines-amendment-bill,Q3 action plan,,,Medicines Amendment Bill (parallel assessment) at Select Committee 5 Jun 2025 — incremental progress beyond Q3 action plan.
Health,Better recognise people with overseas medical qualifications and experience for accreditation in New Zealand.,NZ First,67,24/06/2026,,https://www.rnz.co.nz/news/national/566889/medical-council-to-fast-track-registration-for-overseas-doctors,,,,Medical Council fast-tracked specialist registration from Nov 2024 and GP applications from US/Canada/Singapore from Jul 2025. 70% of new doctor registrations are now overseas-trained.
Health,Progress the adoption of digital technology in harder to staff areas and make greater use of Nurse Practitioners.,NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/580000/health-budget-2026-digital-upgrades,,,,Budget 2026 allocated $153.6m for Health NZ digital/cyber upgrades (29 May 2026). No specific Nurse Practitioner scope-of-practice expansion surfaced.
Health,Repeal the Therapeutic Products Act 2023.,"NZ First, ACT",100,08/05/2024,08/03/2024,https://www.beehive.govt.nz/release/therapeutic-products-act-be-repealed,100-day plan,,,
Health,Fund Gumboot Friday/I Am Hope Charity to $6 million per annum.,NZ First,100,22/05/2024,,https://www.beehive.govt.nz/release/24-million-boost-gumboot-friday,,Family First,,
Health,Renegotiate the Crown funding agreement with St John with a view to meeting a greater portion of their annualised budget.,NZ First,33,24/06/2026,,https://www.rnz.co.nz/news/political/568728/35-million-boost-announced-for-ambulance-services,,,,"Budget 2026 included $35m for ambulance services — two new Auckland hubs, more staff, technology upgrades (22 May 2026). Partial progress on renegotiated Crown funding agreement."
Health,Ensure Plunket is funded to do their job properly.,NZ First,,27/11/2023,,,,,,
Health,"Ensure proper funding for birthing units and maternity care, including providing for a three day stay for new mothers.",NZ First,30,24/06/2026,,https://www.rnz.co.nz/news/political/566366/government-commits-to-bill-allowing-three-day-postnatal-stay,,Family First,,"Government committed to a Bill enabling 3-day postnatal stay (11 Oct 2025), but PM Luxon clarified on 2 Jun 2026 that prior social-media framing was 'incorrectly characterised'. Birthing-unit funding situation unclear."
Health,"Repeal amendments to the Smokefree Environments and Regulated Products Act 1990 and regulations before March 2024, removing requirements for denicotisation, removing the reduction in retail outlets and the generation ban, while also amending vaping product requirements and taxing smoked products only.","NZ First, ACT",75,24/06/2026,08/03/2024,https://www.rnz.co.nz/news/political/528460/government-pushes-through-smokefree-changes-to-tackle-youth-vaping,100-day plan,,,"Smokefree amendments repealed in 100-day plan (denicotisation, retail reduction, generation ban removed); further Smokefree/Vaping changes pushed through under urgency 13 Dec 2024. Smoking-only taxation less clear."
Health,"Reform the regulation of vaping, smokeless tobacco and oral nicotine products while banning disposable vaping products and increasing penalties for illegal sales to those under 18.",NZ First,67,24/06/2026,,https://www.rnz.co.nz/news/business/567812/why-disposable-vapes-will-vanish-from-stores-this-week,,,,Disposable vapes banned from 16 Jun 2025; stricter advertising rules in force; increased penalties for illegal sales. Comprehensive reform package largely delivered.
Seniors,Keep the superannuation age at 65.,NZ First,100,24/06/2026,,https://www.rnz.co.nz/news/political/567012/luxon-keen-for-cross-party-support-on-compulsory-kiwisaver,,,,Superannuation eligibility age maintained at 65. Coalition KiwiSaver discussion (Jun 2026) is separate from super age.
Seniors,Amend the Building Act and the Resource Consent system to make it easier to build granny flats or other small structures up to 60sqm requiring only an engineer’s report.,NZ First,33,24/06/2026,,https://www.rnz.co.nz/news/political/565489/government-to-allow-bigger-granny-flats-built-without-consents,,,,"Government announced policy to allow buildings up to 60sqm without resource consent in certain areas (5 Apr 2025). Building Act amendment progressing — partial delivery, engineer-only regime not yet finalised."
